,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37046,37046.0,2016-01-27,Egypt,Jordan,Egypt,Friendly,1.0,0.0,16.0,16.0,10.0,9.0,7.0,7.0,0.0,3.0,,,,lose
37047,37047.0,2016-01-27,Uganda,Zimbabwe,Uganda,African Nations Championship,-3.0,6.0,11.0,15.0,7.0,10.0,6.0,6.0,3.0,1.0,,,,draw
37048,37048.0,2016-01-27,Mali,Zambia,Zambia,African Nations Championship,-2.0,2.0,18.0,15.0,14.0,5.0,4.0,5.0,4.0,3.0,,,,draw
37049,37049.0,2016-01-29,Egypt,Libya,Egypt,Friendly,2.0,2.0,20.0,14.0,8.0,8.0,7.0,2.0,0.0,1.0,,,,win
37050,37050.0,2016-01-30,Cameroon,Ivory Coast,Cameroon,African Nations Championship,1.0,4.0,5.0,8.0,6.0,5.0,4.0,5.0,5.0,3.0,,,,lose
37051,37051.0,2016-01-30,Congo DR,Rwanda,Rwanda,African Nations Championship,-1.0,0.0,19.0,11.0,11.0,6.0,6.0,5.0,1.0,3.0,,,,win
37052,37052.0,2016-01-31,Mali,Tunisia,Tunisia,African Nations Championship,-1.0,1.0,17.0,22.0,14.0,14.0,5.0,4.0,3.0,4.0,,,,win
37053,37053.0,2016-01-31,Iceland,USA,USA,Friendly,0.0,2.0,13.0,19.0,12.0,12.0,4.0,6.0,3.0,3.0,,,,lose
37054,37054.0,2016-01-31,Guinea,Zambia,Zambia,African Nations Championship,0.0,0.0,17.0,13.0,13.0,5.0,5.0,5.0,3.0,3.0,,,,draw
37055,37055.0,2016-02-03,Congo DR,Guinea,Congo DR,African Nations Championship,0.0,1.0,20.0,16.0,12.0,12.0,6.0,5.0,1.0,3.0,,,,draw
37056,37056.0,2016-02-04,Ivory Coast,Mali,Mali,African Nations Championship,13.0,8.0,11.0,13.0,5.0,11.0,6.0,5.0,2.0,4.0,,,,lose
