team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
7,65,65,22,2,3,18,12,14,14,5,8,2,1,3.0775,3.0992,2.185
153,187,187,24,10,6,11,12,6,8,4,5,4,2,2.1777,3.1032,3.0368
19,131,131,37,1,2,16,19,22,10,3,4,1,2,3.3827,3.1362,2.0458
2,181,181,5,3,8,18,17,7,15,7,5,1,4,2.5996,2.9282,2.8468
14,93,93,21,-3,0,12,17,11,14,5,6,2,2,7.7632,4.0864,1.3782
8,88,88,36,-1,0,16,13,14,8,4,6,2,3,5.067,3.733,1.6626
76,184,184,22,-5,4,12,13,9,9,3,4,2,2,9.7256,4.9378,1.2411
99,112,112,4,-3,5,39,28,12,7,3,4,1,3,14.6,6.9,1.12
26,191,26,14,17,2,8,19,19,15,9,4,0,3,1.5762,3.6648,6.7883
69,160,69,36,4,0,15,19,23,22,8,6,1,2,1.2219,5.2306,11.0831
76,184,76,21,-8,5,16,11,14,11,6,6,0,1,6.5363,3.9730000000000003,1.4622
2,111,2,6,0,1,14,15,14,8,7,3,1,2,1.1783,5.6462,14.7055
112,159,159,4,2,20,15,19,6,12,2,3,3,2,3.3967,3.4081,1.9211
172,186,172,17,-1,0,21,17,8,11,7,4,2,4,2.1623,3.225,3.1518
119,140,140,23,5,3,10,12,12,7,4,3,3,4,1.9172,3.2308,3.9884
119,191,119,22,5,0,20,15,7,8,3,4,1,2,1.645,3.4944,4.8778
4,181,181,5,-3,0,18,16,11,8,3,5,3,3,5.172999999999999,1.7755,2.9115
2,114,2,22,-1,0,11,13,15,9,3,7,2,3,2.32,3.2,2.75
23,26,26,21,-14,2,23,15,9,10,4,6,1,2,24.703000000000003,8.705,1.0795
18,95,18,36,0,0,16,11,9,10,5,1,3,3,1.0714,7.4986,21.7071
18,149,149,22,1,2,14,16,13,12,4,6,4,2,2.2841,3.2569,3.0497
62,149,62,21,-2,0,26,19,16,4,0,5,0,2,26.4722,9.375,1.0606
32,124,124,22,4,2,16,17,11,6,6,6,2,3,1.8780000000000001,3.22,3.548
