id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,odd_diff_win,odd_draw,result
2,6/9/2012,Germany,Portugal,Germany,UEFA Euro,5,5,7,11,0,-1,-3,2,2,4,1,3,-1.27,-2.84,10,9,20,-4,15,-3,0,-12,-1.6026,3.287,win_1
3,6/10/2012,Italy,Spain,Spain,UEFA Euro,1,10,-18,0,-1,0,11,-4,-1,-4,-3,-1,0.73,0.84,8,-5,24,28,-6,8,5,-10,3.5489,3.395,draw_0
4,6/10/2012,Croatia,Ireland,Ireland,UEFA Euro,-1,3,9,1,1,-3,-10,1,3,4,2,3,-1.18,-0.08,14,-1,-1,24,11,21,21,12,-1.9812,3.15,win_2
5,6/11/2012,England,France,France,UEFA Euro,7,5,-3,6,0,-1,-9,0,1,2,-1,-1,0.46,-0.12,15,13,2,15,-1,7,1,-1,0.7515,2.9789,draw_0
6,6/12/2012,Poland,Russia,Poland,UEFA Euro,-4,4,2,3,-1,0,54,-3,-3,-4,-4,-1,-3,-1.72,-10,-19,-37,-21,-6,-4,-4,6,0.9237,3.2548,draw_0
7,6/13/2012,Denmark,Portugal,Denmark,UEFA Euro,-4,2,-6,1,2,-3,5,-6,-7,-7,-6,-4,1.27,-0.28,16,19,10,-1,1,0,-3,-1,2.709,3.4586,lose_1
8,6/13/2012,Germany,Netherlands,Netherlands,UEFA Euro,4,14,0,9,0,1,-2,2,1,3,5,2,-3,-1.92,30,6,-19,3,-3,2,-2,-1,-0.4234,3.2381,win_1
9,6/14/2012,Croatia,Italy,Italy,UEFA Euro,2,2,6,0,0,2,-4,-5,-5,-4,-6,-6,0,-0.24,14,9,-26,9,11,16,6,2,0.7243,3.1207,draw_0
10,6/14/2012,Ireland,Spain,Spain,UEFA Euro,-9,7,-22,1,-4,5,17,-10,-9,-12,-11,-10,1.91,0.68,8,5,-1,13,-6,3,-10,-20,12.2652,6.1196,lose_3
11,6/15/2012,England,Sweden,Sweden,UEFA Euro,1,9,-4,-6,-1,3,-10,6,7,6,8,6,-2.18,-1.28,14,17,18,28,-17,1,-12,-15,-0.975,3.1139,win_1
12,6/16/2012,Greece,Russia,Greece,UEFA Euro,-10,5,-4,3,-2,1,3,-4,-4,-5,-1,1,-1.73,-1.04,-34,-19,-23,-3,4,-17,-19,-11,3.2304,3.5778,win_1
13,6/17/2012,Denmark,Germany,Denmark,UEFA Euro,-6,3,-13,-3,1,-2,8,-8,-9,-11,-7,-7,2.54,2.56,6,10,-10,3,-14,3,-3,11,5.2537,3.907,lose_1
14,6/17/2012,Netherlands,Portugal,Portugal,UEFA Euro,-5,3,-2,-3,1,-2,-1,0,1,1,-4,1,1.73,-0.92,-20,3,39,-7,18,-5,2,-11,-0.234,3.5848,lose_1
15,6/18/2012,Croatia,Spain,Croatia,UEFA Euro,-1,1,-11,8,-1,0,7,-9,-6,-8,-9,-7,0.73,0.6,22,4,-2,37,5,24,11,-8,7.9574,3.7044,lose_1
16,6/18/2012,Ireland,Italy,Italy,UEFA Euro,-5,2,-2,1,-1,3,6,-6,-8,-8,-8,-9,1.18,-0.16,0,10,-25,-15,0,-5,-15,-10,7.0856,4.7148,lose_2
17,6/19/2012,France,Sweden,Sweden,UEFA Euro,4,5,1,-12,-1,4,-1,6,6,4,9,7,-2.64,-1.16,-1,4,16,13,-16,-6,-13,-14,-3.3789,3.6756,lose_2
18,6/22/2012,Germany,Greece,Germany,UEFA Euro,5,3,12,3,3,-3,-12,9,9,11,5,6,-2.63,-2.24,33,1,1,-12,11,20,24,17,-8.7744,5.1793,win_2
19,6/23/2012,France,Spain,Spain,UEFA Euro,-2,6,-7,1,0,1,15,-4,-3,-5,-1,-2,-0.73,0.12,11,-4,8,15,-4,-1,-4,-8,2.8815,3.3222,lose_2
20,6/27/2012,Portugal,Spain,Portugal,UEFA Euro,-7,12,-4,7,-3,1,4,-5,-4,-6,-4,-4,-1.09,0.72,12,-9,-13,15,-8,10,-3,3,2.4204,3.2759,draw_0
21,6/28/2012,Germany,Italy,Germany,UEFA Euro,-7,9,12,6,3,-2,-10,1,-1,2,0,0,-3.09,-2.96,14,5,-17,-17,13,-1,-8,1,-2.693,3.3322,lose_1
22,7/1/2012,Italy,Spain,Spain,UEFA Euro,1,11,-14,5,-4,2,11,-4,-1,-4,-3,-1,0.73,0.84,8,-5,24,28,-6,8,5,-10,1.7911,3.0833,lose_3
0,6/13/2014,Cameroon,Mexico,Mexico,FIFA World Cup,-1,0,-7,-2,-2,3,31,1,-4,2,1,-3,1.27,0.26,-13,-10,-16,10,10,12,-10,-5,1.5358,3.1323,lose_1
1,6/13/2014,Netherlands,Spain,Spain,FIFA World Cup,0,1,3,2,-3,4,14,-6,-2,-9,-9,-3,-1.91,-1.65,20,-6,14,25,-17,20,5,-8,3.14,3.3319,win_3
2,6/13/2014,Australia,Chile,Chile,FIFA World Cup,-2,1,1,-1,-4,0,46,-7,-1,-6,-6,1,-2.1,-1.48,-23,17,-43,28,-24,-1,-5,1,7.1586,4.3885,lose_2
3,6/14/2014,Colombia,Greece,Colombia,FIFA World Cup,1,0,5,3,-1,1,-5,4,6,6,0,-7,-0.1,0.13,-2,-21,-1,-10,13,21,18,16,-3.1685,3.2219,win_3
4,6/15/2014,Ecuador,Switzerland,Switzerland,FIFA World Cup,0,0,1,1,-4,1,20,-5,-2,-3,-9,-4,2.36,2.09,2,-2,17,-1,7,-12,10,-17,0.7455,3.193,lose_1
5,6/16/2014,Germany,Portugal,Germany,FIFA World Cup,6,5,-2,3,0,1,-1,4,0,6,1,3,-1.46,-1.78,8,9,18,-4,15,-3,10,-12,-1.57,3.4904,win_3
6,6/17/2014,Brazil,Mexico,Brazil,FIFA World Cup,12,6,-1,2,4,0,-15,8,3,8,9,5,-0.37,0.57,9,-6,-11,-16,14,15,-21,-16,-7.7243,5.2419,draw_0
7,6/18/2014,Australia,Netherlands,Australia,FIFA World Cup,1,2,9,1,-3,-2,44,-10,-9,-8,-7,-6,-0.73,0.48,-18,25,-33,16,-9,-23,-16,-1,11.7148,6.4589,lose_1
8,6/18/2014,Chile,Spain,Spain,FIFA World Cup,-8,2,15,-1,-2,1,12,-9,-10,-11,-10,-10,-0.54,0.31,25,2,24,13,-2,-2,-6,-10,3.913,4.4074,win_2
9,6/19/2014,Colombia,Ivory Coast,Colombia,FIFA World Cup,0,0,-8,-4,1,1,-16,1,1,1,-1,-5,-1.64,0.78,-16,-14,-9,-23,12,-6,4,4,-1.7389,3.4748,win_1
10,6/19/2014,England,Uruguay,Uruguay,FIFA World Cup,-1,3,3,-10,-1,0,5,2,0,3,3,5,-2.18,-3.13,-21,1,6,35,-16,12,1,13,-1.8334,3.7289,lose_1
11,6/20/2014,France,Switzerland,Switzerland,FIFA World Cup,3,9,16,-6,0,0,8,5,10,3,4,7,1.09,1,0,-16,1,1,9,-11,1,0,-2.73,3.4752,win_3
12,6/22/2014,Belgium,Russia,Belgium,FIFA World Cup,-1,1,-5,5,-2,0,-6,4,2,3,4,-2,-4.18,-2.09,-15,-9,-14,-37,-16,1,-5,10,-1.2414,3.29,win_1
13,6/23/2014,Australia,Spain,Australia,FIFA World Cup,0,0,18,-2,-5,0,58,-16,-11,-17,-16,-9,-2.64,-1.17,2,19,-19,41,-26,-3,-11,-9,6.4292,5.1822,lose_3
14,6/23/2014,Chile,Netherlands,Netherlands,FIFA World Cup,0,0,9,-3,0,-1,-2,-3,-8,-2,-1,-7,1.37,1.96,5,8,10,-12,15,-22,-11,-2,-0.0635,3.4508,lose_2
15,6/23/2014,Brazil,Cameroon,Cameroon,FIFA World Cup,2,0,5,6,6,-3,-46,7,7,6,8,8,-1.64,0.31,22,4,5,-26,4,3,-11,-11,-20.2822,9.2574,win_3
16,6/24/2014,Italy,Uruguay,Italy,FIFA World Cup,0,4,1,-6,-3,4,3,4,-1,6,4,7,0.91,-1.61,-30,-6,16,38,-14,15,13,2,-0.2178,3.4215,lose_1
17,6/24/2014,Greece,Ivory Coast,Greece,FIFA World Cup,0,0,-10,-5,1,0,-11,-3,-5,-5,-1,2,-1.54,0.65,-14,7,-8,-13,-1,-27,-14,-12,1.9807,3.5693,win_1
18,6/25/2014,Ecuador,France,Ecuador,FIFA World Cup,-1,0,-17,8,-6,4,12,-10,-12,-6,-13,-11,1.27,1.09,2,14,16,-2,-2,-1,9,-17,3.873,4.0759,draw_0
19,6/28/2014,Brazil,Chile,Brazil,FIFA World Cup,40,12,-5,3,3,-1,-9,7,6,6,11,10,-0.37,-0.26,0,6,-8,-8,0,26,-7,-8,-4.6652,4.3948,draw_0
20,6/28/2014,Colombia,Uruguay,Colombia,FIFA World Cup,-6,9,5,-3,-1,2,-1,0,-3,2,-1,-6,-0.64,-1,-25,-20,0,18,-2,14,9,12,-1.4865,3.3135,win_2
21,6/29/2014,Mexico,Netherlands,Netherlands,FIFA World Cup,-1,1,-3,-5,-1,-2,4,-4,-5,-4,1,-2,1.37,1.13,-4,20,13,-4,1,-11,3,6,1.5485,3.2835,lose_1
22,7/1/2014,Argentina,Switzerland,Argentina,FIFA World Cup,4,2,1,-8,1,0,-1,5,12,4,3,7,0.91,2.74,-16,-13,-7,-15,25,13,10,-2,-4.7123,4.075,draw_0
23,7/4/2014,France,Germany,France,FIFA World Cup,3,6,9,-7,1,-2,14,-2,2,-5,-1,-1,-0.63,0.26,-15,-4,1,4,-11,-8,-11,1,0.0515,3.1089,lose_1
24,7/4/2014,Brazil,Colombia,Brazil,FIFA World Cup,13,8,-3,3,3,-3,-1,5,2,3,9,14,-1.27,-0.43,12,13,7,-8,-11,16,-18,-8,-3.0403,3.7278,win_1
25,7/5/2014,Argentina,Belgium,Argentina,FIFA World Cup,1,0,4,-6,1,0,-5,1,6,1,0,8,1.73,3.09,2,3,-15,-1,35,12,13,2,-2.1555,3.3207,win_1
26,7/8/2014,Brazil,Germany,Brazil,FIFA World Cup,8,5,-4,8,2,-2,2,-1,0,-4,3,1,-0.27,1.44,-1,8,9,-6,-9,17,-20,-9,-0.2504,3.1392,lose_3
27,7/9/2014,Argentina,Netherlands,Netherlands,FIFA World Cup,-3,3,1,-6,1,-1,-8,3,2,4,5,1,0.46,2.26,-25,5,-14,-26,29,3,0,-2,-0.5135,3.1969,draw_0
28,7/12/2014,Brazil,Netherlands,Brazil,FIFA World Cup,0,5,1,8,2,-1,-11,4,-2,4,10,3,1,1.7,5,14,2,-20,15,4,-18,-10,-1.0885,3.6493,lose_3
29,7/13/2014,Argentina,Germany,Germany,FIFA World Cup,3,5,-3,-5,1,-1,5,-2,4,-4,-2,-1,-0.81,2,-31,-1,-7,-12,5,16,-2,-1,0.9741,3.2359,draw_0
0,6/10/2016,France,Romania,France,UEFA Euro,5,5,13,0,6,-7,-5,9,10,9,8,7,0.09,-0.82,-7,-14,9,-13,17,1,1,2,-9.83,4.88,win_1
1,6/11/2016,England,Russia,England,UEFA Euro,2,4,0,0,2,0,-18,3,4,2,3,4,-3.73,-3.34,-11,3,-6,6,-6,-4,0,-4,-3.731,3.57,draw_0
2,6/12/2016,Northern Ireland,Poland,Poland,UEFA Euro,1,2,-16,-2,-1,3,-2,-6,-14,-7,-3,-6,0.36,1.22,2,20,14,-2,6,3,-6,9,3.959,3.42,lose_1
3,6/13/2016,Belgium,Italy,Belgium,UEFA Euro,-9,4,2,6,2,-1,-10,1,1,3,-3,-4,-3,-2.39,-19,-18,-6,-27,4,24,12,16,-0.32,3,lose_2
4,6/13/2016,Ireland,Sweden,Ireland,UEFA Euro,-2,2,-2,-2,1,0,-2,0,-4,1,2,-1,-0.54,2.13,-4,0,7,-14,13,-2,-19,-12,1.48,3.04,draw_0
5,6/13/2016,Czech Republic,Spain,Spain,UEFA Euro,-3,1,5,5,-2,-1,24,-9,-9,-12,-11,-8,-2.55,-0.56,6,12,15,15,-5,10,-3,7,7.449,4.53,lose_1
6,6/14/2016,Austria,Hungary,Austria,UEFA Euro,-25,29,0,6,2,-3,-10,4,-1,8,7,0,-0.55,-0.26,9,-5,-1,-25,24,7,16,7,-4.57,3.68,lose_2
7,6/15/2016,Romania,Switzerland,Romania,UEFA Euro,1,3,-7,0,-2,6,7,-5,-4,-3,-6,0,3.09,1.91,-7,-2,-19,6,-8,-16,0,-2,1.13,3.06,draw_0
8,6/16/2016,England,Wales,England,UEFA Euro,53,21,4,2,4,-2,-15,7,8,5,7,7,0.09,-1.39,-6,12,3,21,11,-5,-6,-12,-4.41,3.76,win_1
9,6/16/2016,Germany,Poland,Germany,UEFA Euro,12,6,-10,9,0,-2,-23,7,-4,9,8,9,-0.82,-1.22,8,5,12,1,7,7,1,0,-4.569,4.05,draw_0
10,6/17/2016,Italy,Sweden,Italy,UEFA Euro,3,6,2,1,1,-2,-23,5,-1,6,7,7,-0.81,0.83,3,9,9,-4,5,-8,-15,-18,-2.71,3.06,win_1
