id,date,team_1,team_2,home_team,tournament,match_type,host,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,abnormal,goal_diff
35528,6/13/2014,Cameroon,Mexico,Mexico,FIFA World Cup,group_stage_1,0,-1,0,-7,-2,-2,3,1.5358,3.1323,31,1,-4,2,1,-3,1.27,0.26,-13,-10,-16,10,10,12,-10,-5,lose,0,-1
35529,6/13/2014,Netherlands,Spain,Spain,FIFA World Cup,group_stage_1,0,0,1,3,2,-3,4,3.14,3.3319,14,-6,-2,-9,-9,-3,-1.91,-1.65,20,-6,14,25,-17,20,5,-8,win,1,4
35527,6/13/2014,Australia,Chile,Chile,FIFA World Cup,group_stage_1,0,-2,1,1,-1,-4,0,7.1586,4.3885,46,-7,-1,-6,-6,1,-2.1,-1.48,-23,17,-43,28,-24,-1,-5,1,lose,0,-2
35530,6/14/2014,Colombia,Greece,Colombia,FIFA World Cup,group_stage_1,0,1,0,5,3,-1,1,-3.1685,3.2219,-5,4,6,6,0,-7,-0.1,0.13,-2,-21,-1,-10,13,21,18,16,win,0,3
35536,6/15/2014,Ecuador,Switzerland,Switzerland,FIFA World Cup,group_stage_1,0,0,0,1,1,-4,1,0.7455,3.193,20,-5,-2,-3,-9,-4,2.36,2.09,2,-2,17,-1,7,-12,10,-17,lose,0,-1
35537,6/16/2014,Germany,Portugal,Germany,FIFA World Cup,group_stage_1,0,6,5,-2,3,0,1,-1.57,3.4904,-1,4,0,6,1,3,-1.46,-1.78,8,9,18,-4,15,-3,10,-12,win,0,4
35541,6/17/2014,Brazil,Mexico,Brazil,FIFA World Cup,group_stage_2,1,12,6,-1,2,4,0,-7.7243,5.2419,-15,8,3,8,9,5,-0.37,0.57,9,-6,-11,-16,14,15,-21,-16,draw,1,0
35543,6/18/2014,Australia,Netherlands,Australia,FIFA World Cup,group_stage_2,0,1,2,9,1,-3,-2,11.7148,6.4589,44,-10,-9,-8,-7,-6,-0.73,0.48,-18,25,-33,16,-9,-23,-16,-1,lose,0,-1
35546,6/18/2014,Chile,Spain,Spain,FIFA World Cup,group_stage_2,0,-8,2,15,-1,-2,1,3.913,4.4074,12,-9,-10,-11,-10,-10,-0.54,0.31,25,2,24,13,-2,-2,-6,-10,win,1,2
35547,6/19/2014,Colombia,Ivory Coast,Colombia,FIFA World Cup,group_stage_2,0,0,0,-8,-4,1,1,-1.7389,3.4748,-16,1,1,1,-1,-5,-1.64,0.78,-16,-14,-9,-23,12,-6,4,4,win,0,1
35549,6/19/2014,England,Uruguay,Uruguay,FIFA World Cup,group_stage_2,0,-1,3,3,-10,-1,0,-1.8334,3.7289,5,2,0,3,3,5,-2.18,-3.13,-21,1,6,35,-16,12,1,13,lose,1,-1
35552,6/20/2014,France,Switzerland,Switzerland,FIFA World Cup,group_stage_2,0,3,9,16,-6,0,0,-2.73,3.4752,8,5,10,3,4,7,1.09,1,0,-16,1,1,9,-11,1,0,win,0,3
35557,6/22/2014,Belgium,Russia,Belgium,FIFA World Cup,group_stage_2,0,-1,1,-5,5,-2,0,-1.2414,3.29,-6,4,2,3,4,-2,-4.18,-2.09,-15,-9,-14,-37,-16,1,-5,10,win,0,1
35561,6/23/2014,Australia,Spain,Australia,FIFA World Cup,group_stage_3,0,0,0,18,-2,-5,0,6.4292,5.1822,58,-16,-11,-17,-16,-9,-2.64,-1.17,2,19,-19,41,-26,-3,-11,-9,lose,0,-3
35564,6/23/2014,Chile,Netherlands,Netherlands,FIFA World Cup,group_stage_3,0,0,0,9,-3,0,-1,-0.0635,3.4508,-2,-3,-8,-2,-1,-7,1.37,1.96,5,8,10,-12,15,-22,-11,-2,lose,0,-2
35562,6/23/2014,Brazil,Cameroon,Cameroon,FIFA World Cup,group_stage_3,1,2,0,5,6,6,-3,-20.2822,9.2574,-46,7,7,6,8,8,-1.64,0.31,22,4,5,-26,4,3,-11,-11,win,0,3
35567,6/24/2014,Italy,Uruguay,Italy,FIFA World Cup,group_stage_3,0,0,4,1,-6,-3,4,-0.2178,3.4215,3,4,-1,6,4,7,0.91,-1.61,-30,-6,16,38,-14,15,13,2,lose,0,-1
35566,6/24/2014,Greece,Ivory Coast,Greece,FIFA World Cup,group_stage_3,0,0,0,-10,-5,1,0,1.9807,3.5693,-11,-3,-5,-5,-1,2,-1.54,0.65,-14,7,-8,-13,-1,-27,-14,-12,win,1,1
35570,6/25/2014,Ecuador,France,Ecuador,FIFA World Cup,group_stage_3,0,-1,0,-17,8,-6,4,3.873,4.0759,12,-10,-12,-6,-13,-11,1.27,1.09,2,14,16,-2,-2,-1,9,-17,draw,1,0
35578,6/28/2014,Brazil,Chile,Brazil,FIFA World Cup,round_16,1,40,12,-5,3,3,-1,-4.6652,4.3948,-9,7,6,6,11,10,-0.37,-0.26,0,6,-8,-8,0,26,-7,-8,win,0,0
35579,6/28/2014,Colombia,Uruguay,Colombia,FIFA World Cup,round_16,0,-6,9,5,-3,-1,2,-1.4865,3.3135,-1,0,-3,2,-1,-6,-0.64,-1,-25,-20,0,18,-2,14,9,12,win,0,2
35582,6/29/2014,Mexico,Netherlands,Netherlands,FIFA World Cup,round_16,0,-1,1,-3,-5,-1,-2,1.5485,3.2835,4,-4,-5,-4,1,-2,1.37,1.13,-4,20,13,-4,1,-11,3,6,lose,0,-1
35585,7/1/2014,Argentina,Switzerland,Argentina,FIFA World Cup,round_16,0,4,2,1,-8,1,0,-4.7123,4.075,-1,5,12,4,3,7,0.91,2.74,-16,-13,-7,-15,25,13,10,-2,win,0,0
35589,7/4/2014,France,Germany,France,FIFA World Cup,quarter_finals,0,3,6,9,-7,1,-2,0.0515,3.1089,14,-2,2,-5,-1,-1,-0.63,0.26,-15,-4,1,4,-11,-8,-11,1,lose,0,-1
